cpu_assignment,budget_on_period(us),max_latency(ns),max_latency(us)
one_to_one,5k/10k,70360,70
one_to_one,5k/10k,70230,70
one_to_one,10k/10k,70220,70
one_to_one,5k/10k,70200,70
one_to_one,1k/5k,70180,70
one_to_one,5k/10k,70130,70
one_to_one,5k/10k,69890,70
one_to_one,1k/5k,69810,70
one_to_one,3k/9k,69780,70
one_to_one,5k/10k,69760,70
one_to_one,5k/10k,69760,70
one_to_one,1k/5k,69750,70
one_to_one,10k/10k,69740,70
one_to_one,3k/9k,69620,70
one_to_one,10k/10k,69580,70
one_to_one,5k/10k,69380,69
one_to_one,5k/10k,69350,69
one_to_one,5k/10k,69310,69
one_to_one,10k/10k,69310,69
one_to_one,10k/10k,69260,69
one_to_one,3k/9k,69030,69
one_to_one,3k/9k,68890,69
one_to_one,10k/10k,68840,69
one_to_one,3k/9k,68690,69
one_to_one,1k/5k,68540,69
one_to_one,5k/10k,68490,68
one_to_one,3k/9k,68430,68
one_to_one,3k/9k,68420,68
one_to_one,1k/5k,68380,68
one_to_one,10k/10k,68310,68
one_to_one,3k/9k,68260,68
one_to_one,1k/5k,68250,68
one_to_one,1k/5k,68180,68
one_to_one,3k/9k,68170,68
one_to_one,10k/10k,68140,68
one_to_one,3k/9k,68120,68
many_to_many,5k/10k,68110,68
one_to_one,3k/9k,68070,68
one_to_one,3k/9k,68020,68
one_to_one,3k/9k,67970,68
one_to_one,5k/10k,67940,68
one_to_one,1k/5k,67860,68
one_to_one,3k/9k,67820,68
one_to_one,3k/9k,67810,68
one_to_one,10k/10k,67770,68
one_to_one,10k/10k,67700,68
one_to_one,5k/10k,67680,68
one_to_one,3k/9k,67470,67
one_to_one,10k/10k,67470,67
one_to_one,1k/5k,67450,67
one_to_one,5k/10k,67340,67
one_to_one,10k/10k,67290,67
one_to_one,5k/10k,67260,67
one_to_one,3k/9k,67250,67
one_to_one,5k/10k,67240,67
one_to_one,5k/10k,67230,67
one_to_one,10k/10k,67180,67
one_to_one,1k/5k,67130,67
one_to_one,3k/9k,66960,67
one_to_one,5k/10k,66890,67
one_to_one,10k/10k,66800,67
one_to_one,10k/10k,66190,66
one_to_one,10k/10k,66140,66
many_to_many,10k/10k,64360,64
many_to_many,5k/10k,63500,64
many_to_many,5k/10k,61460,61
many_to_many,5k/10k,60110,60
many_to_many,10k/10k,58170,58
many_to_many,5k/10k,57280,57
many_to_many,5k/10k,57250,57
many_to_many,10k/10k,52980,53
many_to_many,5k/10k,52500,53
many_to_many,10k/10k,51380,51
many_to_many,5k/10k,47750,48
many_to_many,10k/10k,47150,47
many_to_many,5k/10k,46820,47
many_to_many,10k/10k,42510,43
many_to_many,10k/10k,39920,40
many_to_many,10k/10k,38680,39
