disturb,scheduler,max_latency(ns),max_latency(us)
nodisturb,credit2,63860,64
nodisturb,rtds,63760,64
cpu_disturb,rtds,63500,64
nodisturb,rtds,63020,63
nodisturb,credit2,62530,63
nodisturb,credit2,62270,62
nodisturb,credit2,61890,62
nodisturb,rtds,61620,62
cpu_disturb,rtds,61460,61
nodisturb,rtds,60420,60
nodisturb,rtds,60160,60
cpu_disturb,rtds,60110,60
nodisturb,rtds,59810,60
nodisturb,rtds,59600,60
nodisturb,credit2,58440,58
nodisturb,rtds,58220,58
cpu_disturb,rtds,58170,58
nodisturb,rtds,57570,58
nodisturb,rtds,57290,57
cpu_disturb,rtds,57280,57
cpu_disturb,rtds,57250,57
nodisturb,rtds,56260,56
nodisturb,rtds,55440,55
nodisturb,rtds,55180,55
nodisturb,rtds,55180,55
nodisturb,credit2,54890,55
nodisturb,rtds,54290,54
nodisturb,rtds,53930,54
nodisturb,rtds,53710,54
nodisturb,rtds,53660,54
nodisturb,rtds,53640,54
nodisturb,rtds,53600,54
nodisturb,rtds,53440,53
nodisturb,rtds,53370,53
nodisturb,rtds,53280,53
nodisturb,rtds,53240,53
nodisturb,rtds,53020,53
cpu_disturb,rtds,52980,53
nodisturb,rtds,52960,53
nodisturb,rtds,52960,53
nodisturb,rtds,52570,53
cpu_disturb,rtds,52500,53
nodisturb,rtds,52350,52
nodisturb,rtds,52310,52
nodisturb,rtds,52270,52
nodisturb,rtds,52040,52
nodisturb,rtds,52000,52
nodisturb,rtds,51760,52
nodisturb,rtds,51750,52
nodisturb,rtds,51700,52
nodisturb,rtds,51650,52
nodisturb,rtds,51630,52
nodisturb,rtds,51410,51
cpu_disturb,rtds,51380,51
nodisturb,rtds,51210,51
nodisturb,rtds,51120,51
nodisturb,rtds,51050,51
nodisturb,rtds,51050,51
nodisturb,rtds,51000,51
nodisturb,rtds,50480,50
nodisturb,rtds,50450,50
nodisturb,rtds,50350,50
nodisturb,rtds,50260,50
nodisturb,rtds,50130,50
nodisturb,rtds,49980,50
nodisturb,rtds,49830,50
nodisturb,rtds,49220,49
nodisturb,rtds,49060,49
nodisturb,rtds,48870,49
nodisturb,rtds,48860,49
nodisturb,rtds,48550,49
cpu_disturb,rtds,47750,48
nodisturb,rtds,47610,48
nodisturb,rtds,47170,47
cpu_disturb,rtds,47150,47
nodisturb,rtds,47010,47
cpu_disturb,rtds,46820,47
nodisturb,rtds,46410,46
nodisturb,rtds,44170,44
nodisturb,credit2,42930,43
nodisturb,rtds,42790,43
nodisturb,rtds,42710,43
cpu_disturb,rtds,42510,43
nodisturb,rtds,41290,41
nodisturb,rtds,40540,41
cpu_disturb,rtds,39920,40
nodisturb,rtds,39700,40
cpu_disturb,rtds,38680,39
nodisturb,rtds,38200,38
nodisturb,rtds,37690,38
nodisturb,rtds,36140,36
nodisturb,rtds,35540,36
nodisturb,rtds,35210,35
